route_id,route_name,hour,passengers,capacity,fare_collected,is_peak,is_ac
7,Harbour Express,6,12,60,240.0,False,True
7,Harbour Express,7,54,60,1242.0,True,True
7,Harbour Express,8,60,60,1380.0,True,True
7,Harbour Express,9,58,60,1334.0,True,True
7,Harbour Express,12,32,60,640.0,False,True
7,Harbour Express,17,55,60,1265.0,True,True
7,Harbour Express,18,59,60,1357.0,True,True
7,Harbour Express,21,18,60,360.0,False,True
12,Airport Shuttle,5,8,45,280.0,False,True
12,Airport Shuttle,7,40,45,1610.0,True,True
12,Airport Shuttle,8,44,45,1771.0,True,True
12,Airport Shuttle,9,43,45,1730.75,True,True
12,Airport Shuttle,13,20,45,700.0,False,True
12,Airport Shuttle,17,42,45,1690.5,True,True
12,Airport Shuttle,18,45,45,1811.25,True,True
12,Airport Shuttle,20,30,45,1207.5,True,True
31,City Loop,6,45,80,540.0,False,False
31,City Loop,7,78,80,1076.4,True,False
31,City Loop,8,80,80,1104.0,True,False
31,City Loop,9,75,80,1035.0,True,False
31,City Loop,11,40,80,480.0,False,False
31,City Loop,14,35,80,420.0,False,False
31,City Loop,17,79,80,1090.2,True,False
31,City Loop,19,72,80,993.6,True,False
42,North Connector,6,30,80,540.0,False,False
42,North Connector,7,72,80,1490.4,True,False
42,North Connector,8,78,80,1614.6,True,False
42,North Connector,17,74,80,1531.8,True,False
42,North Connector,18,76,80,1573.2,True,False
42,North Connector,21,28,80,504.0,False,False
55,South Express,7,55,60,948.75,True,True
55,South Express,8,58,60,1000.5,True,True
55,South Express,9,52,60,897.0,True,True
55,South Express,17,56,60,966.0,True,True
55,South Express,18,59,60,1017.75,True,True
55,South Express,20,35,60,603.75,True,True
88,Tech Corridor,7,48,50,1214.4,True,True
88,Tech Corridor,8,50,50,1265.0,True,True
88,Tech Corridor,9,49,50,1239.7,True,True
88,Tech Corridor,17,47,50,1189.1,True,True
88,Tech Corridor,18,50,50,1265.0,True,True
88,Tech Corridor,19,44,50,1113.2,True,True
