route_name,route_id,hour,passengers,capacity,fare_collected,is_peak,is_ac
Harbour Express,7,6,12,60,240.0,False,True
Harbour Express,7,7,54,60,1242.0,True,True
Harbour Express,7,8,60,60,1380.0,True,True
Harbour Express,7,9,58,60,1334.0,True,True
Harbour Express,7,12,32,60,640.0,False,True
Harbour Express,7,17,55,60,1265.0,True,True
Harbour Express,7,18,59,60,1357.0,True,True
Harbour Express,7,21,18,60,360.0,False,True
Airport Shuttle,12,5,8,45,280.0,False,True
Airport Shuttle,12,7,40,45,1610.0,True,True
Airport Shuttle,12,8,44,45,1771.0,True,True
Airport Shuttle,12,9,43,45,1730.75,True,True
Airport Shuttle,12,13,20,45,700.0,False,True
Airport Shuttle,12,17,42,45,1690.5,True,True
Airport Shuttle,12,18,45,45,1811.25,True,True
Airport Shuttle,12,20,30,45,1207.5,True,True
City Loop,31,6,45,80,540.0,False,False
City Loop,31,7,78,80,1076.4,True,False
City Loop,31,8,80,80,1104.0,True,False
City Loop,31,9,75,80,1035.0,True,False
City Loop,31,11,40,80,480.0,False,False
City Loop,31,14,35,80,420.0,False,False
City Loop,31,17,79,80,1090.2,True,False
City Loop,31,19,72,80,993.6,True,False
North Connector,42,6,30,80,540.0,False,False
North Connector,42,7,72,80,1490.4,True,False
North Connector,42,8,78,80,1614.6,True,False
North Connector,42,17,74,80,1531.8,True,False
North Connector,42,18,76,80,1573.2,True,False
North Connector,42,21,28,80,504.0,False,False
South Express,55,7,55,60,948.75,True,True
South Express,55,8,58,60,1000.5,True,True
South Express,55,9,52,60,897.0,True,True
South Express,55,17,56,60,966.0,True,True
South Express,55,18,59,60,1017.75,True,True
South Express,55,20,35,60,603.75,True,True
Tech Corridor,88,7,48,50,1214.4,True,True
Tech Corridor,88,8,50,50,1265.0,True,True
Tech Corridor,88,9,49,50,1239.7,True,True
Tech Corridor,88,17,47,50,1189.1,True,True
Tech Corridor,88,18,50,50,1265.0,True,True
Tech Corridor,88,19,44,50,1113.2,True,True
